Name,Value
Energy Matter Resource Deed,0
Mineral Resource Deed,0
Treasure Resorce Deed,0
Mirsal Token,0.01
Shrapnel,0.0001
Mayhem Token,0.00001
Christmas Cracker,0.01
A.R.C. Armor Mold (Arm Guards),0.05
A.R.C. Armor Mold (Boots),0.05
A.R.C. Armor Mold (Gloves),0.05
A.R.C. Armor Mold (Harness),0.05
A.R.C. Armor Mold (Helmet),0.05
A.R.C. Armor Mold (Leg Guards),0.05
A.R.C. Armor Mold (Shin Guards),0.05
A.R.C. HK Mold,0
A.R.C. Wire Harness,0.1
Aakas Alloy,0.1
Aakas Plating,0.3
Aakas Texture,0.5
Aarkan Pellets,0.02
Aarkan Polymer,0.06
Aarkan Texture,0.15
Accelerative Matrix Component 1,0.3
Accelerative Matrix Component 2,0.35
Accelerative Matrix Component 3,0.5
Acetylcholine,0.03
Acid Protective Coating,0.3
Acid Root,0.32
Actinolite Crystal,0
Adamite Crystal,0.8
Adaptive Fire Rate Component,0.3
Adaptor,2.2
Adjusted Nanites,1
Adomasite Ingot,1.8
Adomasite Stone,0.6
Adomasite Texture,0.8
Advanced Adaptive Fuse,0.96
Advanced Cloth Extractor,0.01
Advanced Cooling System Unit,1
Advanced Electronic Fluid Memory,0.26
Advanced Feedback Panel,0.17
Advanced Fluid Energy Source,1
Advanced Gem Extractor,0.01
Advanced Heavy Springs,1
Advanced Leather Extractor,0.01
Advanced Matrix,0.24
Advanced Metal Extractor,0.01
Advanced Mineral Extractor,0.01
Advanced Modulator,0.08
Advanced Mountings,1.6
Advanced Optical Wave Emitter,0.89
Advanced Organic Wire,1.03
Advanced Processor,0.096
Advanced Scanning Sensor,0.33
Advanced Security Module,0.211
Advanced Spur Gears 6k,1
Advanced Stone Extractor,0.01
Advanced Strategic Combat Processor,0.21
Advanced Talytic Converters,2.3
Advanced Target Assessment Unit,0.17
Advanced VisioMem,0.072
Advanced Wood Extractor,0.01
Adventurine Crystal,0.15
Aegirine Crystal,0.02
Aetherex Leather,14.1
Aetherex Leather Texture,1.01
Aetherex Skin,4.7
Agate Crystal,0.04
Agrellite Crystal,0.7
Alferix Ingot,2.85
Alferix Stone,0.95
Alferix Texture,1.15
Alicenies Gel,0.1
Alicenies Liquid,0.05
Alien Acid,0.34
Alien Biogenic Gel,0.01
Alien Blood,0.46
Alien Mutant Skull,9.5
Alien Resin Fluid,0.12
Alkar Crystals,0.05
Alkar Lattice,0.15
Allophyl DNA Samples,30.1
Allophyl Fin,9.8
Allophyl Leather,0.9
Allophyl Leather Texture,0.33
Allophyl Skin,0.3
Allophyl Tentacle,5.6
Allophyl Thighbone,7.6
Alloy Hinge,1.1
Alloy Plate,2.3
Alternative Ingot,0.03
Alternative Rock,0.01
Amazon Arm,0.01
Amazon Hair,0.01
Amazon Helmet,0.02
Amazonite Crystal,0
Amazon Leg,0.01
Amazon Sandle,0.01
Amazon Wrist Guard,0.03
Amber,10
Amber Crystal,0.02
Ambulimax DNA Samples,25.45
Ambulimax Hair,0.45
Ambulimax Leather,12
Ambulimax Leather Texture,1
Ambulimax Skin,4
Ambulimax Thigh Bone,7
American Pirate Flag,1
Amethyst,50
Amethyst Crystal,0.02
Ametrine,130
Ametrine Crystal,0
Ammo (High Grade),0.0001
Ammo (Low Grade),0.0001
Ammolite Crystal,0.7
Angelic Flakes,1
Angelic Grit,0.5
Angelite Crystal,0.1
Angel Scales,0.01
Angle,0.56
Anhydrite Crystal,0.04
Animal Adrenal Oil,0.2
Animal Brain Oil,19
Animal Essence,0.01
Animal Essence Rare,0.01
Animal Eye Oil,0.05
Animal Heart Oil,10
Animal Hide,0.01
Animal Kidney Oil,2
Animal Liver Oil,1
Animal Muscle Oil,0.03
Animal Oil Residue,0.01
Animal Pancreas Oil,0.5
Animal Spleen Oil,5
Animal Thyroid Oil,0.1
Anti-Glare Spray,0.16
Antimagnetic Oil,2
Apatite Crystal,0.03
Apophyllite Crystal,0.61
Aqeeq Ingot,0.06
Aqeeq Stone,0.02
Aqeeq Texture,0.08
Aquatic Gland,0.2
Arabesque Texture,0.04
Aragonite Crystal,0.01
Araneatrox Claw,1
Araneatrox Leather,15
Araneatrox Leather Texture,6.35
Araneatrox Skin,5
Araneatrox Skull,68.5
Arc,0.8
Arekite Ingot,0.3
Arekite Stone,0.1
Ares Head,0.26
Ares Powder,0.52
Argonaut Bone,0.01
Argonaut Claw Big,0.04
Argonaut Claw Small,0.02
Argonaut DNA samples,8
Argonaut Fang,0.02
Argonaut Fractured Skull,4
Argonaut Leather,2.7
Argonaut Leather Texture,0.46
Argonaut Skin,0.9
Argonaut Skull,6
Arkace Texture,0.04
Arkace Timber,0.1
Arkace Veneer,0.01
Arkadian Golden Key Barrel,18
Arkadian Golden Key Bearings,2
Arkadian Golden Key Codex Chamber,40
Arkadian Golden Key Cog,10
Arkadian Golden Key Gears,1
Arkadian Golden Key Housing,30
Arkadian Golden Key Inner Ring,20
Arkadian Golden Key Interface,12
Arkadian Golden Key Outer Ring,30
Arkadian Golden Key Power Source,6
Arkadian Hornet Hide,0.02
Arkadian Hornet Leather,0.06
Arkadian Hornet Leather Texture,0.01
Arkoin,0.01
Armax (bull) DNA Samples,13
Armax (cow) DNA Samples,11
Armax Bull Tail,3.2
Armax Cow Tail,2.7
Armax Large Horn,0.04
Armax Leather,3
Armax Leather Texture,0.62
Armax Plate,5
Armax Skin,1
Armax Skull,13
Armax Skull Complete,39
Armax Small Horn,0.02
Armax Tusk,0.1
Atacamite Crystal,0.01
Atlantasite Crystal,0.02
Atrax Bone,0.05
Atrax Claw,0.1
Atrax DNA Samples,20.76
Atrax Eye,9
Atrax Jaw,3
Atrax Leather,6
Atrax Leather Texture,0.68
Atrax Skin,2
Atrox Bone,0.05
Atrox Claw,0.1
Atrox DNA Samples,21.81
Atrox Eye,11
Atrox Fang,0.02
Atrox Leather,9
Atrox Leather Texture,1.25
Atrox Skin,3
Atrox Skull,66
Aumorphite Ingot,8.09
Aurilinin Gel,4.04
Aurli Bone Piece,7.4
Aurli Chitin Scale,4
Aurli Claw,4.5
Aurli Dense Plate,4.5
Aurli Fangs,1.8
Aurli Larva,0.17
Aurli Shock Flesh,0.78
Australian Pirate Flag,2
Azeztulite Crystal,0.04
Azurite Crystal,0.03
Azur Pearls,0.96
Azzurdite Ingot,3.6
Azzurdite Stone,1.2
Azzurdite Texture,1.4
Bahri Claw,0.04
Bahri Claw Tips,0.2
Bahri Hide,0.08
Bahri Leather,0.32
Bahri Skin,0.12
Balancing Agent,0.18
Ball Bearings,0.02
Banite Ingot,0.24
Banite Stones,0.08
Banite Texture,0.21
Barite Crystal,0.07
Basic Adaptive Fuse,0.75
Basic Auxiliary Socket,0.0136
Basic Bearings,0.04
Basic Bolts,0.01
Basic Cloth Extractor,0.01
Basic Coil,0.03
Basic Electronic Fluid Memory,0.08
Basic Engine,0.052
Basic Eye Color Set,0.11
Basic Filters,0.01
Basic Gem Extractor,0.01
Basic Hair Color Set,0.11
Basic Leather Extractor,0.01
Basic Metal Extractor,0.01
Basic Mineral Extractor,0.01
Basic Nuts,0.01
Basic Optical Wave Emitter,0.68
Basic Organic Wire,0.82
Basic Pigment Enhancer,0.01
Basic Plastic Extractor,0.01
Basic Power System,0.01
Basic Processor,0.020797
Basic Propulsion System,15
Basic Pump,0.01
Basic Relay,0.05
Basic Rings,0.03
Basic Scanning Sensor,0.11
Basic Screws,0.04
Basic Sensor,0.024
Basic Servo,0.014
Basic Sheet Metal,0.0392
Basic Skin Color Set,0.11
Basic Stone Extractor,0.01
Basic Strategic Combat Processor,0.04
Basic Structure,0.0236
Basic Target Assessment Unit,0.02
Basic Targeting Chip,0.02
Basic Tube,0.01
Basic Vehicle Battery,0.91
Basic Vehicle Gearbox,1.63
Basic Vehicle Servo,0.28
Basic Vehicle Supercharger,0.51
Basic Vehicle Suspension,0.76
Basic Wires,0.03
Basic Wood Extractor,0.01
Baydar Card Part (Center),0.01
Baydar Card Part (Left),0.01
Baydar Card Part (Right),0.01
Beaten Metal Robot Scrap,1
Beladoth Back Spike,3.5
Beladoth Brain,10
Beladoth DNA Cartridge,0
Beladoth Eye,1.25
Beladoth Foot,2.5
Beladoth Hide,1.5
Beladoth Leather,4.5
Beladoth Leather Texture,0.96
Beladoth Nail,0.54
Beladoth Spine,3
Belkar Ingot,0.06
Belkar Stone,0.02
Belkar Texture,0.22
Bell's Chitin Scales,0.9
Bend,0.67
Berycled Claw,0.12
Berycled DNA Samples,20.27
Berycled Leather,0.9
Berycled Leather Texture,0.3
Berycled Sails,0.65
Berycled Skin,0.3
Berycled Skull,17
Berycled Trophy,0.01
Beryl Crystal,0.08
Big Bird Wing,0.35
Big Daddy's Nut Potion,0.02
Bigwig Board,1.13
Bigwig Texture,0.28
Bigwig Veneer,0.01
Binary Energy,1.5
Binary Fluid,0.75
Binding Epoxy,0.9
Bio ID Verification,16
Bismuth Fragment,0.2
Bismuth Plating,0.6
Bismuth Texture,0.3
Black Russian Cocktail,0.06
Black Russian Cocktail Mix,0.03
Blank Arkadian DNA Cartridge 1,1
Blank Arkadian DNA Cartridge 2,2
Blank Arkadian DNA Cartridge 3,3
Blank Arkadian DNA Cartridge 4,4
Blank Arkadian DNA Cartridge 5,5
