(NotSetected);0;0;0;0;0;0;0;0;0;0;0;0;0
Abrer Laser Sight;Sight;0;12.5;0.9;0;0.046;0;0.046;110;0;0;60.0;Crafted
Beacin Laser Sight;Sight;0;13;1.4;0;0.069;0;0.069;160;0;0;60.0;Crafted
Bullseye 1;Sight;0;10;1;0;0.040;0;0.040;60;0;0;65.0;Crafted
Bullseye 2;Sight;0;12;1.1;0;0.050;0;0.050;70;14.50 PED;0;70.0;Crafted
Bullseye 3;Sight;0;14;1.2;0;0.060;0;0.060;80;0;0;70.0;Crafted
Bullseye 4;Sight;0;16;1.3;0;0.070;0;0.070;90;0;0;75.0;Crafted
Bullseye 5;Sight;0;18;1.4;0;0.080;0;0.080;100;0;0;75.0;Crafted
Bullseye 6;Sight;0;20;1.5;0;0.090;0;0.090;110;59.00 PED;0;75.0;Crafted
Bullseye 7;Sight;0;22;1.6;0;0.100;0;0.100;120;0;0;79.0;Crafted
Bullseye 8;Sight;0;24;1.7;0;0.110;0;0.110;130;0;0;83.0;Crafted
Bullseye I (L);Sight;0;10;1.3;0;0.040;0;0;15;0;0;65.0;Looted
Bullseye II (L);Sight;0;12;1.4;0;0.050;0;0.050;17;0;0;70.0;Looted
Bullseye III (L);Sight;0;14;1.5;0;0;0;0;20;0;0;70.0;Looted
Bullseye IV (L);Sight;0;16;1.6;0;0;0;0;22;0;0;75.0;Looted
Bullseye V (L);Sight;0;18;1.7;0;0;0;0;25;4999.00%;0;75.0;Looted
Bullseye VI (L);Sight;0;20;1.8;0;0.090;0;0;27;0;0;75.0;Looted
Bullseye VII (L);Sight;0;22;1.9;0;0.100;0;0;30;0;0;79.0;Looted
Bullseye VIII (L);Sight;0;24;2;0;0;0;0;32;0;0;83.0;Looted
Castar Laser Sight;Sight;0;13.5;1.8;0;0;0;0;220;0;0;60.0;Crafted
Dynera Laser Sight;Sight;0;15.5;1.9;0;0.096;0;0.096;260;0;0;60.0;Crafted
Ecivox Laser Sight;Sight;0;19.5;1.3;0;0;0;0;240;0;0;75.0;Crafted
Enkidd Dismalites (L);Sight;0;9.9;1.5;0;0;0;0;40;0;0;0;Crafted
Framur Laser Sight;Sight;0;21;1.6;0;0;0;0;245;0;0;79.0;Crafted
Gargul Laser Sight;Sight;0;21.5;1.8;0;0.090;0;0.090;250;0;0;79.0;Crafted
Hunnir Laser Sight;Sight;0;22;2;0;0.098;0;0.098;251.75;35.00 PED;0;60.0;Crafted
I.C.U Laser Sight Mk I;Sight;0;6;0.5;0;0.030;0;0;120;0;0;65.0;Looted
Ignaritz Laser Sight;Sight;0;23;2.2;0;0.109;0;0.109;259;0;0;83.0;Crafted
Jakth Laser Sight;Sight;0;23.5;2.5;0;0.126;0;0.126;262;0;0;83.0;Crafted
Lucky Laser Sight Mk I;Sight;0;5;0.5;0;0.020;0;0;110;0;0;65.0;Crafted
Lucky Laser Sight Mk II;Sight;0;8;1.4;0;0;0;0;160;0;0;65.0;Crafted
Omegaton Laser Sight Mk. 1;Sight;0;22;2;0;0.098;0;0.098;251.75;0;0;85.0;Merry Mayhem
Omegaton Laser Sight Mk. 2;Sight;0;22;2;0;0.098;0;0.098;251.75;0;0;87.0;Merry Mayhem
Prototype Mounted Flashlight Smuggler;Sight;0;0;0;0;0;0;0;0;0;0;100.0; 
S & B Mounted Light P1 (L);Sight;0;10;1.3;0;0.040;0;0.040;15;0;0;65.0;Looted
S & B Mounted Light P2 (L);Sight;0;12;1.4;0;0;0;0;17;0;0;70.0;Looted
S & B Mounted Light R1 (L);Sight;0;20;1.8;0;0;0;0;27;0;0;75.0;Looted
S & B Mounted Light R2 (L);Sight;0;14;1.5;0;0;0;0;20;0;0;70.0;Looted
S & B Mounted Light R3 (L);Sight;0;16;1.6;0;0;0;0;22;0;0;75.0;Looted
S & B Mounted Light R4 (L);Sight;0;18;1.7;0;0;0;0;25;0;0;75.0;Looted
Seizzt Laser Sight 2000L;Sight;0;4;0.4;0;0.020;0;0.020;15;27.00 PED;0;65.0;Old Time, Looted
Seizzt Laser Sight 2000L+;Sight;0;5;0.3;0;0.017;0;0.017;30;0;0;65.0;Old time
Terrus Laser Sight SE600;Sight;0;12;0.6;0;0.030;0;0.030;100;74.05 PED;0;70.0;Old time
Terrus Laser Sight SE700;Sight;0;12.5;0.7;0;0.036;0;0.036;130;0;0;70.0;Old time
Terrus Laser Sight SE800;Sight;0;13;0.7;0;0.037;0;0.037;160;133.86 PED;0;70.0;Old time
Terrus Laser Sight SE900;Sight;0;15;0.8;0;0.040;0;0.040;170;0;0;70.0;Old time
ZX R-Dod;Sight;0;4;0.4;0;0.020;0;0.020;0.3;0;0;100.0;Starter Pack
