(NotSetected);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
A-3 Justifier Mk. 2, Improved, TWEN Edition;Rifle;Laser;104.5;72;67;55.9;0.229;1350;13.729;1000.00; ;3.645;95.0;Yes;Looted; 
A-3 Justifier Mk. 2, TWEN Edition;Carbine;Laser;71.5;43;44;21.9;0.414;900;9.414;85.00; ;3.175;75.4;Yes;Looted; 
A&P Series Hero, Adjusted, TWEN Edition;Carbine;Laser;88.0;44;51;26.0;0.252;900;9.252;450.00;28500.00 PED;3.305;84.2; ;Looted; 
ArMatrix BP-20, Twen Edition;Pistol;BLP;27.5;34.7;76;30.5; ; ; ; ; ; ;93.2; ; ; 
ArMatrix LP-70, TWEN Edition;Pistol;Laser;28.6;88.2;72;73.6;1.312;1617;17.482; ; ;3.506;97.2; ; ; 
ArMatrix LR-40, Twen Edition;Carbine;Laser;85.8;82.9;53;50.9; ; ; ; ; ; ;94.8; ; ; 
ArMatrix SB-10, TWEN Edition;Melee;Shortblades;5.0;23.6;85;23.2;0.371;442;4.791;25.00; ;3.424;92.4;Yes;Looted; 
Arsonistic Chip, Twen Edition;Mindforce;Pyro;70.0;1260;3;43.8; ; ; ; ; ; ;90.0; ; ; 
CalyTrek CR Spirit Mk.2 Twen Edition;Rifle;BLP;68.2;62;63;45.2;0.990;1242;13.410;110.00; ;3.213;78.7;Yes; ; 
Camo Arms Jungle Stalker Twen Edition;Rifle;BLP;115.0;90;48;50.0;2.490;1800;20.490;245.00; ;3.053;68.2;Yes; ; 
Castorian Combat EnBlade-10, TWEN Edition;Melee;Longblades;6.0;139;32;51.5;3.600;3640;40.000;300.00; ;2.415;90.0; ; ; 
Cryogenic Attack Nanochip, TWEN Edition;Mindforce;Cryogenic;56.0;220;33;84.1;0.960;4500;45.960;200.00; ;3.327;78.0;Yes;TWEN Token Trader; 
DOA Strikehammer, Improved, TWEN Edition;Carbine;BLP;16.5;104;65;78.3;0.900;2160;22.500;4320.00; ;3.212;77.9;Yes;Looted; 
EWE EP-40 Mercenary, Modified, TWEN Edition;Pistol;Laser;49.5;73.7;86;73.4;0.272;1350;13.772;1500.00; ;3.719;84.8;Yes;Looted; 
Fire Forge DAR 9300, TWEN Edition;Rifle;Laser;135.0;76;32;28.2;1.215;1530;16.515;134.00; ;3.198;76.9;Yes; ; 
Glinting Unity, TWEN Edition;Rifle;BLP;66.6;100;67;77.6;0.708;1970;20.408;300.00; ;3.406;88.0;Yes;Looted; 
Keyworks Unity, TWEN Edition;Melee;Clubs;9.0;200;36;83.4;0.510;4031;40.820;200.00; ;3.405;88.0;Yes;Looted; 
Meckel & Loch ML-35 Twen Edition;Rifle;BLP;140.0;81;42;39.4;2.490;1530;17.790;200.00; ;3.164;77.0;Yes; ; 
Omegaton ASG-2 Swine Deluxe, TWEN Edition;Rifle;BLP;25.0;220;44;112.1;4.000;4300;47.000;500.00; ;3.253;57.8;Yes;TWEN Token Trader; 
Omegaton M2870, Improved, TWEN Edition;Pistol;Laser;44.0;63;74;54.0;0.450;1260;13.050;1350.00; ;3.355;87.8;Yes;Looted; 
Ravenger Mini-Sweeper V1, Adjusted, TWEN Edition;Rifle;BLP;55.0;67;83;64.4;0.990;1350;14.490;600.00; ;3.214;78.0;No;Looted; 
Scimitar of the Mages, TWEN Edition;Melee;Longblades;8.0;156;42;75.9;2.336;2950;31.836;980.00; ;3.406;88.0;Yes;Looted; 
Sniping Unity, TWEN Edition;Rifle;Gauss;174.0;200;32;74.1;0.666;4015;40.816;130.00; ;3.406;88.0;Yes; ; 
Sollomate Opalo, TWEN Edition;Rifle;Laser;55.0;8;49;4.5;0.018;180;1.818;3.80; ;3.058;68.0;Yes;Looted; 
Sparking Unity, TWEN Edition;Melee;Shortblades;6.0;71;85;69.9;0.540;1397;14.510;285.00; ;3.401;88.0;Yes; ; 
0x0F382C8C91E58C8B24DF;Pistol;Plasma;53.9;134;33;51.2;8.121;2438;32.501;320.00;20004.00 PED;2.865;56.0;Yes;Looted; 
0x0F382C8C91E58C82AA7 (L);Pistol;Plasma;66.0;75;24;20.9;4.551;1364;18.191;94.00;0;2.865;56.0;Yes;Crafted; 
0x0F382C8C91E58C8273C0 (L);Pistol;Plasma;48.4;97;26;29.2;5.111;1764;22.751;122.00;0;2.963;56.0;Yes;Crafted; 
0x0F382C8C91E58C8460 (L);Pistol;Plasma;55.0;40;23;10.7;2.421;728;9.701;47.00;109.33%;2.866;56.0;Yes;Looted; 
1 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00;0;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.2 s
2.H.T.S. FlameThrower (L);Flamethrower;BLP;16.5;30;67;23.3;0.030;723;7.260;1.50;1400.00%;2.872;56.5;Yes;Terminal; 
2.H.T.S. Scorpion (L);Pistol;Laser;36.3;30;67;23.3;0.030;723;7.260;1.50;2250.00%;2.872;56.5;Yes;Terminal; 
2.H.T.S. Shotgun (L);Rifle;BLP;22.0;30;67;23.3;0.030;723;7.260;1.50;2150.00%;2.872;56.5;Yes;Terminal; 
2 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00;0;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.2 s
3 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00;0;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
4 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00;0;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
5 Star Stunna;Rifle;BLP;22.0;22;83;21.2;2.800;255;5.350;10.00;0;2.858;55.4;Yes;HUB Alpha;Deceleration 100% duration 0.3 s
A-3 Justifier Mk. 1;Carbine;Laser;71.5;36;40;16.7;0.890;800;8.890;78.00;150.00 PED;2.814;52.3;No;Looted; 
A-3 Justifier Mk. 1, Ancient;Carbine;Laser;99.0;36;40;16.7;0.890;800;8.890;78.00;0;2.814;52.3;No;Pregold; 
